Retailer,Vendor,Category,Name,Price,Product Link,Description,Product Details,Description Lexical Diversity,Description Length,Materials,Size Guide,Luxury Tier,Number of pictures,Image Links
La Garconne,Extreme Cashmere,TOP,n°455 Bos Cashmere Top — Raven,450.0,https://lagarconne.com/collections/all/products/ps26ex025-extreme-cashmere-n-455-bos-tops-raven,"Extreme Cashmere raven black vest with a classic crew neck in soft mid-weight cashmere knit. Features ribbed trim finishings at neck and hem. Relaxed, loose fit.",Color: Raven. 100% Cashmere. Imported.,96.15,26,['cashmere'],True,Affordable fashion,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11892_TMHILHPS20_S_4096x4096.jpg?v=1764629760
La Garconne,Extreme Cashmere,TOP,n°455 Bos Cashmere Top — Goat,450.0,https://lagarconne.com/collections/all/products/ps26ex024-extreme-cashmere-n-455-bos-tops-goat,"Extreme Cashmere grey vest with a classic crew neck in soft mid-weight cashmere knit. Features ribbed trim finishings at neck and hem. Relaxed, loose fit.",Color: Goat. 100% Cashmere. Imported.,96.0,25,['cashmere'],True,Affordable fashion,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11456_TMHILHPS20_S1_4096x4096.jpg?v=1763670169
La Garconne,Extreme Cashmere,SWEATER,n°456 Flea Cashmere Sweater,850.0,https://lagarconne.com/collections/all/products/ps26ex015-extreme-cashmere-n-456-flea-sweater,"Extreme Cashmere raven black slightly cropped sweater with a turtle-neck in heavy-weight soft cashmere. Features ribbed trim finishings at neck, cuffs and hem. Regular fit.",Color: Raven. 100% Cashmere. Made in China.,100.0,25,['cashmere'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11379_TMHILHPS20_S_4096x4096.jpg?v=1763670600
La Garconne,Extreme Cashmere,SWEATER,n°457 Jack Stretch Cashmere Sweater — Goat,1100.0,https://lagarconne.com/collections/all/products/ps26ex012-extreme-cashmere-n-457-jack-sweater-goat,"Extreme Cashmere grey sweater with a V-neckline and blouson fit in soft stretch mid-weight cashmere blend knit. Features dropped shoulders and ribbed trim finishings at neckline, cuffs and hem. Relaxed fit.","Color: Goat. 94% Cashmere, 5% Nylon, 1% Elastane. Made in China.",93.55,31,"['cashmere', 'nylon']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11352_TMHILHPS20_S_c9b334e3-8459-4bff-9e89-2665d7fb6b50_4096x4096.jpg?v=1763670955
La Garconne,Extreme Cashmere,SWEATER,n°457 Jack Stretch Cashmere Sweater — Raven,1100.0,https://lagarconne.com/collections/all/products/ps26ex011-extreme-cashmere-n-457-jack-sweater-raven,"Extreme Cashmere raven black sweater with a V-neckline and blouson fit in soft stretch mid-weight cashmere blend knit. Features dropped shoulders and ribbed trim finishings at neckline, cuffs and hem. Relaxed fit.","Color: Raven. 94% Cashmere, 5% Nylon, 1% Elastane. Imported.",93.75,32,"['cashmere', 'nylon']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11909_TMHILHPS20_S_1e9750d8-2667-4dc8-b9e2-556bee54a14e_4096x4096.jpg?v=1764619853
La Garconne,Extreme Cashmere,SWEATER,n°223 Be For Stretch Cashmere Sweater — Raven,700.0,https://lagarconne.com/collections/all/products/ps26ex010-extreme-cashmere-n-223-be-for-sweater,"Extreme Cashmere raven black polo sweater with elongated sleeves in stretch cashmere blend knit. Finished with rib shirt collar, sleeve cuffs and hem. Finished with tonal buttons at placket.","Color: Raven. 88% Cashmere, 10% Nylon, 2% Elastane. Imported.",89.66,29,"['cashmere', 'nylon']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11917_TMHILHPS20_S_b504a1e5-f8ba-4ee0-be6e-48138d6aab32_4096x4096.jpg?v=1764621507
La Garconne,Extreme Cashmere,SWEATER,n°223 Be For Stretch Cashmere Sweater — Goat,700.0,https://lagarconne.com/collections/all/products/ps26ex005-extreme-cashmere-n-223-be-for-sweater,"Extreme Cashmere grey polo sweater with elongated sleeves in stretch cashmere blend knit. Finished with rib shirt collar, sleeve cuffs and hem. Finished with tonal buttons at placket.","Color: Goat. 88% Cashmere, 10% Nylon, 2% Elastane. Made in China.",89.29,28,"['cashmere', 'nylon']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session11393_TMHILHPS20_S_4096x4096.jpg?v=1763671113
La Garconne,Extreme Cashmere,HAT,n°444 Cashmere Hat — Raven,250.0,https://lagarconne.com/collections/all/products/ps26ex023-extreme-cashmere-n-444-hat-raven,Extreme Cashmere raven black classic beanie hat in soft cashmere ribbed knit.,Color: Raven. 100% Cashmere. Imported.,100.0,12,['cashmere'],False,Affordable fashion,2,https://lagarconne.com/cdn/shop/files/Feb2021Session12560_TMHILHPS20_S_4096x4096.jpg?v=1764801495
La Garconne,Extreme Cashmere,HAT,n°444 Cashmere Hat — Goat,250.0,https://lagarconne.com/collections/all/products/ps26ex022-extreme-cashmere-n-444-hat-goat,Extreme Cashmere grey classic beanie hat in soft cashmere ribbed knit.,Color: Goat. 100% Cashmere. Imported.,100.0,11,['cashmere'],False,Affordable fashion,2,https://lagarconne.com/cdn/shop/files/Feb2021Session12564_TMHILHPS20_S_4096x4096.jpg?v=1764801528
La Garconne,Extreme Cashmere,HAT,n°444 Cashmere Hat — Dust,250.0,https://lagarconne.com/collections/all/products/ps26ex021-extreme-cashmere-n-444-hat-dust,Extreme Cashmere dust beige classic beanie hat in soft cashmere ribbed knit.,Color: Dust. 100% Cashmere. Imported.,100.0,12,['cashmere'],False,Affordable fashion,2,https://lagarconne.com/cdn/shop/files/Feb2021Session12561_TMHILHPS20_S_4096x4096.jpg?v=1764801566
